name,brand,description,color,size,price,curateditem_url
"White Leather Slide Sandals",Prada,"Prada calf leather easy sandals with signature logo triangle accent 0.75 in / 20 mm flat heel Open toe Dual adjustable grip straps Slide style Molded comfort footbed Rubber outsole Made in Italy",white,"8 US/41 EU",1070,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=25003&murl=https://www.neimanmarcus.com/p/prada-leather-double-grip-slide-sandals-prod277560117?pimId=401253722167&utm_source=google_shopping&ecid=NMCS_GP_NC&gad_source=1&gad_campaignid=20568674843&gbraid=0AAAAADuOtTd0-uv6Bo_PIu17K8xFVfS-A&gclid=Cj0KCQjw4qHEBhCDARIsALYKFNP77lxd5j1KvljCqe3EbZnLHlTKSLCBlaIzR7gpXvnF8c0QNesrR3gaAruLEALw_wcB&gclsrc=aw.ds"
"Veronica Beard Ronin Wide-Leg Trousers","Veronica Beard","The Veronica Beard Ronin trousers are part of a sleek suit and can be paired with the matching Sevyn blazer. Made from crepe, they sit high at the waist with a wide leg and stripes at the sides. They feature a flat front.",pink,US8,249,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.244492430910143916194345&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fveronica-beard%2Fclothing%2Fwide-leg%2Fronin-crepe-wide-leg-pants%2F1647597358743637"
"Yellow Leather BB 90 Plaid Pumps","manolo blahnik","These handmade pumps by Manolo Blahnik feature a yellow and black plaid fabric upper, leather lining, and a leather insole and sole. They have a pointed toe and come with a shoe box.",yellow,"US 8.5",885,"https://www.jdoqocy.com/click-8455109-15513564?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fmanolo-blahnik-bb-90-plaid-pumps-yellow-p01093935%3Ffeed_num%3DP01093935%26feed_des%3DManoloBlahnik%26feed_mwg%3Dshoes"
"Green Suede Slides","Loro Piana",,green,"US 9",920,"https://www.kqzyfj.com/click-100010600-13462687?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Floro-piana-summer-charms-suede-slides-green-p01083304%3Ffeed_num%3DP01083304%26feed_des%3DLoroPiana%26feed_mwg%3Dshoes"
"Blue Thea Linen Vest",posse,"The Thea vest from Posse is crafted from 100% linen. This sleeveless vest features a button up design. It should be hand washed. It was made in China.",blue,"US 2",290,"https://www.jdoqocy.com/click-8455109-15513564?url=https://www.mytheresa.com/us/en/women/posse-thea-linen-top-blue-p01078805"
"Blue Thea Linen Vest",posse,"The Thea vest from Posse is crafted from 100% linen. This sleeveless vest features a button up design. It should be hand washed. It was made in China.",blue,"US 0",290,"https://www.mytheresa.com/us/en/women/posse-thea-linen-top-blue-p01078805"
"Blue Harper Mid Rise Straight Leg Jeans",AGOLDE,"AGOLDE's 'Harper' jeans are crafted from light-blue denim with whiskering and fading for a vintage appearance. This mid-rise design features relaxed, straight legs and a classic five-pocket construction accented with contrasting gold threads. The jeans feature a zip up fly front. The product is made using at least 50% lower-impact materials or ingredients.",blue,29,238,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fagolde%2Fclothing%2Fstraight-leg%2Fharper-mid-rise-straight-leg-jeans%2F1647597356793015"
"Black Garderob Jersey T-shirt",TOTÊME,"This TOTEME T-shirt is made from a blend of TENCEL™ Lyocell and organic cotton. It features a crewneck and a relaxed fit.",black,medium,200,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Ftoteme%2Fclothing%2Ft-shirts%2Fgarderob-tencel%E2%84%A2-lyocell-and-organic-cotton-blend-jersey-t-shirt%2F46376663162830878"
"Burgundy Leather Vivi 65 Mesh Mules","JIMMY CHOO","These Vivi 65 Mules feature a pointed toe and a leather insole and sole. Made in Italy, the upper and lining are crafted from fabric. The heel is a high heel. The designer color is Deep Merlo and the item color is burgundy. The shoes include a shoe box.",burgundy,"US 8",825,"https://www.jdoqocy.com/click-8455109-15513564?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fjimmy-choo-vivi-65-mesh-mules-burgundy-p01071320%3Ffeed_num%3DP01071320%26feed_des%3DJimmyChoo%26feed_mwg%3Dshoes"
" Blue Hypnotic Denim Capelet",zimmermann,,blue,"All 0",675,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=25003&murl=https://www.neimanmarcus.com/p/zimmermann-hypnotic-denim-capelet-prod282920760?childItemId=NMT6Z3Q_&msid=5073353&position=1"
"Blue Hypnotic Tailored Denim Pants",zimmermann,"These Zimmermann 'Hypnotic' pants are crafted of darkwash denim and finished with contrast topstitching. These full length pants feature an ultrahigh rise, pleated front, four-pocket style, tailored wide legs, a two-button and zip fly, and belt loops. The pants are made of cotton and viscose.",blue,0,795,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500318246177706175365642&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fzimmermann-hypnotic-tailored-denim-pants-prod282930243"
"Brown Margo T-Shirt",Leset,,brown,"US 10",86,"https://www.jdoqocy.com/click-100010600-13462687?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fleset-margo-cotton-jersey-t-shirt-brown-p01069315"
"Blue Hypnotic Tailored Denim Pants",zimmermann,"These Zimmermann 'Hypnotic' pants are crafted of darkwash denim and finished with contrast topstitching. These full length pants feature an ultrahigh rise, pleated front, four-pocket style, tailored wide legs, a two-button and zip fly, and belt loops. The pants are made of cotton and viscose.",blue,"All 1",795,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500318246177706175365642&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fzimmermann-hypnotic-tailored-denim-pants-prod282930243"
" Blue Hypnotic Denim Capelet",zimmermann,,blue,"All 1",675,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=25003&murl=https://www.neimanmarcus.com/p/zimmermann-hypnotic-denim-capelet-prod282920760?childItemId=NMT6Z3Q_&msid=5073353&position=1"
"Blue Embellished Striped Shirt","Max Mara",,blue,"US 4",930,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/shirts/embellished-striped-cotton-blend-poplin-shirt/46376663162862279"
"Blue Wide-Leg Cassie Jeans",SLVRLAKE,,blue,26,329,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/slvrlake/clothing/wide-leg/cassie-high-rise-wide-leg-jeans/46376663162922908"
"Tan Leather Suede Loafers",valentino,,tan,"IT 39",890,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/valentino-garavani/shoes/moccasins/leather-trimmed-suede-boat-shoes/46376663162845045"
"Brown Wool Horsebit Embellished Sweater",GUCCI,,brown,XS,2700,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/gucci/clothing/round-neck/horsebit-embellished-leather-trimmed-wool-and-cashmere-blend-sweater/46376663162893734"
"Brown Midi Dress",Staud,"This Staud midi dress features a houndstooth pattern and a concealed back zip closure. It is crafted from 62% polyester, 26% viscose, 6% wool, and 6% elastane, with a 95% polyester and 5% elastane lining. Made in Vietnam. To maintain the garment's quality, dry clean only.",brown,"US 2",540,"https://www.jdoqocy.com/click-8455109-15513564?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fstaud-wells-houndstooth-midi-dress-beige-p01096632%3Ffeed_num%3DP01096632%26feed_des%3DStaud%26feed_mwg%3Dclothing"
"Green Ribbed Midi Dress",Vince,,"moss smoke,green",S,268,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250036464782466226454007&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fvince-short-sleeve-ribbed-midi-dress-prod284270024"
"Dress the Population Black Label Delores Satin Mermaid Gown","Dress The Population","The Dress the Population Black Label Delores gown is crafted from stretch satin with a pleated waist. This full-length gown features a square neckline, padded shoulders, long sleeves, and built-in boning. It has a mermaid silhouette and an invisible back zipper. It measures approximately 60.5""L from shoulders to hem. The material is polyester and spandex.","antique white",Large,170,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500313806952128270379899&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fdress-the-population-black-label-delores-square-neck-satin-mermaid-gown-prod280160010"
"DÔEN Emmaretta Checked Organic Cotton-blend Voile Midi Dress",DÔEN,"The DÔEN 'Emmaretta' midi dress is cut from organic cotton-blend voile that's patterned with checked print. Designed with elasticated trims along the puffed sleeves and tie-fastening neckline, this dress is a midi length. This product is made using at least 50% lower-impact materials or ingredients.",blue,medium,300,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.24449730793118577519367&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fdoen%2Fclothing%2Fmidi-dresses%2Femmaretta-checked-organic-cotton-blend-voile-midi-dress%2F1647597357417877"
"Dolce & Gabbana Keira Polka Dot Platform Sandals","Dolce & Gabbana","Dolce & Gabbana ""Keira"" platform sandals feature a polka dot satin upper, a knotted bow detailing, and an open toe. These sandals have a 5.31 in / 135 mm block heel, adjustable ankle strap and leather outsole. Made in Italy.",nero,"8.5B / 38.5EU",378,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250037325677629750114726&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fdolce-gabbana-keira-polka-dot-bow-platform-sandals-prod271320067"
"White Linen Midi Alice Dress",Posse,,white,"US 2",435,"https://www.jdoqocy.com/click-100010600-13462687?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fposse-alice-midi-dress-white-p01067646"
"gold lust nourishing hair oil, 100ml/ 3.4 oz.",oribe,"ABOUT: This luxuriously light oil absorbs instantly to restore hair to its prime. Infused with a rich blend of jasmine, edelweiss flower, lychee, sandalwood, cassis, bergamot and argan extracts, each protective drop penetrates the hair to deeply condition, strengthen and smooth - imparting intense nourishment and incredible shine. Works wonders on dry, damaged and colortreated hair…Liquid gold. HOW TO USE: Apply throughout damp hair. Add to ends after styling for extra luster, conditioning and frizz control. BENEFITS: · Luxurious lightweight oil. · Penetrates the hair shaft to restore, strengthen and condition damaged locks. · Provides heat protection and reduces dry time. · Helps prevent damage and protect hair without weighing it down. · Adds high shine and silkiness while detangling and reducing frizz. CLINICAL RESULTS: · Hair is 2x softer and more manageable.* · Hair is protected from frizz up to 72 hours.* · Clinically proven to significantly increase shine.* *Based on clinical test against a control group. KEY INGREDIENTS · A Special Blend of Emollients conditions and softens hair without weighing it down. · Argan Oil adds lightweight shine, softens, reduces frizz and improves hair's condition and manageability, all while shielding against UV rays and environmental pollutants. · Jasmine Oil helps combat dry, itchy scalp and enhances shine. · Sandalwood Extract, Amur Cork Tree Bark Extract and Barley Extract form a proprietary blend optimized to stimulate the hair cuticle, enhance moisture content, repair split ends and improve overall hair aesthetics. · Cassis Seed Oil contains omega6 and omega3 acids, which moisturize and strengthen. · Shea Butter, rich in Vitamin F, moisturizes and softens dry and damaged hair, adding luster and helping protect against further",one-color,"3.4 oz.",59,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500310547557421438594318&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Foribe-gold-lust-nourishing-hair-oil-100ml-3-4-oz-prod157120364"
"Multi Maxi Skirt","jean paul gaultier",,"white,orange,black",S,680,"https://www.jdoqocy.com/click-8455109-15513564?url=https://www.mytheresa.com/us/en/women/jean-paul-gaultier-fire-tulle-maxi-skirt-multicoloured-p01103161"
"Multi Printed Silk Maxi Wrap Dress",Cortana,,multi,"FR 36",995,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/cortana/clothing/maxi-dresses/knotted-printed-silk-maxi-wrap-dress/46376663162878295"
"Yellow Striped Crocheted Mini Dress",Eres,"- White lace and cotton-voile - Button fastenings along front - 100% cotton - Machine wash",Yellow,"IT 40",880,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/eres/clothing/mini-dresses/tempo-inedite-striped-crocheted-cotton-blend-mini-dress/46376663162933839"
"Burgundy Fishnet Mary Jane Ballerinas",Alaïa,,burgundy,"US 8",950,"https://www.jdoqocy.com/click-100010600-13462687?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Falaia-la-ballerine-mesh-mary-jane-flats-burgundy-p01045939%3Ffeed_num%3DP01045939%26feed_des%3DAla%C3%83%C2%AFa%26feed_mwg%3Dshoes"
"Gold-Plated Tidal Earrings",Khaite,"The Khaite tidal earrings are crafted in Italy from gold-plated brass. These drop earrings feature a post-back fastening and include a dust bag and presentation box.",gold,"One size",880,"https://www.tkqlhce.com/click-100010600-13462687?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fkhaite-tidal-gold-plated-drop-earrings-gold-p00992454%3Ffeed_num%3DP00992454%26feed_des%3DKhaite%26feed_mwg%3Daccessoires"
"FRAME Femme Cable Mix Crewneck Sweater",FRAME,"The FRAME Femme sweater features a mixed cable knit design, a crew neckline, and long sleeves. The hem sits at the hip. It has a relaxed fit and is a pullover style crafted from cotton, nylon, polyamide, and mohair.","blush multi",Small,246,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250033176727025218794204&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fframe-femme-cable-mix-crewneck-sweater-prod275860041"
"Beige Drawstring Wide-Leg Jeans","Citizens of Humanity","Citizens of Humanity's 'Brynn' jeans feature a drawstring at the mid-rise waist. The jeans are crafted from soft denim and have wide legs. They are made using at least 50% lower-impact materials or ingredients.",beige,25,297,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fcitizens-of-humanity%2Fclothing%2Fwide-leg%2Fbrynn-drawstring-mid-rise-wide-leg-jeans%2F46376663162844457"
"Naida Belted Fringed Embroidered Cotton-voile And Lace Coverup",Miguelina,"Inspired by her passion of worldly travel, Miguelina Gambaccini's namesake brand blends a ""bohemian; free-spirited aesthetic with a nomadic sensibility"". This belted 'Naida' coverup is made from embroidered cotton-voile and lace and trimmed with fringing, which will swish as you stroll along the beach.",white,"One size",700,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.2444912789252800414954915&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fmiguelina%2Fclothing%2Fcoverups%2Fnaida-belted-fringed-embroidered-cotton-voile-and-lace-coverup%2F46376663162854647"
"Red & Pink Silk Floral Tie-neck Shirt",gucci,,"red,pink","IT 38",2200,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.244496711979748143947129&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fgucci%2Fclothing%2Fshirts%2Fpussy-bow-floral-print-silk-twill-shirt%2F46376663162893675"
"Miller Marilyn Ruched One-Piece Swimsuit","Johnny Was","The Johnny Was ""Marilyn"" one-piece swimsuit features a Miller multi-pattern scarf print with tiger details, a face-framing square neckline, and adjustable straps. It has moderate seat coverage and is ruched. It is made of nylon, polyamide, and elastane. The lining is nylon and elastane.","miller tigre scarf print",X-Large,198,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250038703150031874203896&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fjohnny-was-miller-marilyn-ruchd-one-piece-swimsuit-prod281420032"
"Gray Cropped T-Shirt",eterne,"This Éterne 'Baby Tee' is made from a soft cotton and modal-blend jersey. It features a crew neckline, a cropped hem, and a fitted, shrunken fit. This staple can be styled with jeans or track pants.",gray,small,75,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Feterne%2Fclothing%2Ft-shirts%2Fbaby-tee-cropped-cotton-and-modal-blend-jersey-t-shirt%2F1647597357071347"
"KREWE Zander Aviator Sunglasses",Krewe,"KREWE ""Zander"" aviator sunglasses feature an oversized silhouette. This unisex style is crafted in acetate with heavy beveling, gradient lenses, a keyhole nose bridge, and thin, tapered arms. It offers 100% UVA/UVB protection. The lens/bridge/temple dimensions are 52/21/148 in mm.","poppy noir",one-size,255,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500314207338727806541203&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fkrewe-zander-multicolor-acetate-aviator-sunglasses-prod272880395"
"DÔEN henri ruffled pintucked lace blouse",DÔEN,"The DÔEN ‘Henri' blouse is cut from delicate lace and has pintucked puffed sleeves and fluttery ruffles tracing the neckline. It is sheer.",off-white,small,270,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.244496110813697707838435&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fdoen%2Fclothing%2Fblouses%2Fhenri-ruffled-pintucked-lace-blouse%2F1647597357418275"
"Taekwondo Mei Ballet Leather Sneakers","adidas originals by alexander wang","adidas Originals first launched its ballet flats in the early 2000s, and these 'Taekwondo Mei' sneakers are a contemporary riff on the archival style. Made from contrasts of smooth leather, they're threaded with foot-framing laces and come with additional pairs in varying lengths so you can customize your look. They feature lace-up detailing.",black,"UK 4",90,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.2444917036242958205254527&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fadidas-originals%2Fshoes%2Flow-top%2Ftaekwondo-mei-ballet-leather-sneakers%2F1647597358657244"
"Beige Half Slip Stretch Mini Skirt",commando,,nude,XS,130,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/commando/lingerie/slips/half-slip-control-layered-stretch-mini-skirt/1647597321988497"
"Essentiel Antwerp Hilver Embellished Shirt","Essentiel Antwerp","The Essentiel Antwerp Hilver shirt is crafted from cotton poplin and embellished with rhinestone and beaded details. This collared shirt features long sleeves with button cuffs, a button front, and a single chest patch pocket. It has a relaxed fit and a rounded hemline.",white,Small,137,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250037748470512373023522&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fessentiel-antwerp-hilver-embellished-placket-shirt-prod276041040"
"Janessa Leone Michon Packable Fedora","Janessa Leoné","The Janessa Leone Michon fedora is crafted from paper and acrylic. It features a pinched crown, a flat, wide brim, and a dyed calf leather band. It offers UPF 35+ protection and can be spot cleaned. Made in USA.",bleach,Small,287,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500317651551055238443821&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fjanessa-leone-michon-packable-fedora-prod261260539"
"Schutz Victorie Vinyl Dual-Band Slide Sandals",schutz,"The Schutz Victorie sandals feature a clear vinyl upper, an open toe and a slide style. These mules have a cork block heel measuring 2.36 in / 60 mm. The outsole is made of leather and the lining is synthetic.",transparente/natural,7B,128,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500311661845397602719683&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fschutz-victorie-vinyl-dual-band-slide-sandals-prod255070220"
"Hydrangea-Print Silk Organza Gown","LA FUORI","This La Fuori gown features an allover hydrangea print, fitted bodice, and pleated skirt. This fit-and-flare silhouette has a strapless neckline, sleeveless design, drop waist, floor-sweeping hem, and a back zip. It is crafted of satin organza and polyester.","fuchsia bloom print",X-Large,1500,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250032965806314525873024&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fla-fuori-hydrangea-print-silk-organza-drop-waist-gown-prod281550237"
"Cult Gaia Matias Cropped Embroidered Linen Top","Cult Gaia","This 'Matias' top from Cult Gaia features a cropped, cross-over design outlined in scalloped edges. It is crafted from breathable linen that is trimmed with mesh and has floral embroidery throughout.",off-white,small,129,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.2444918373016642546288781&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fcult-gaia%2Fclothing%2Ftanks-and-camis%2Fmatias-cropped-mesh-trimmed-embroidered-linen-top%2F1647597334018639"
"Shoshanna Daniela Floral Lace Maxi Dress",Shoshanna,"The Shoshanna Daniela maxi dress is crafted of floral lace. This sleeveless dress features a jewel neckline, a pleated skirt and a high-low hem. It has an a-line silhouette, full length, and an invisible back zipper. Approximately 55.5""L from shoulders to hem.",wisteria,12,660,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250033357426622475222657&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fshoshanna-daniela-high-low-floral-lace-maxi-dress-prod279640003"
"Givenchy Marshmallow Wedge Slide Sandals",Givenchy,"Givenchy 'Marshmallow' slide sandals are crafted of molded rubber with an open toe and a wide band upper. They feature a molded footbed and rubber outsole. The wedge heel measures approximately 4.50 inches / 115 mm with a 1.75 inches / 45 mm platform. Made in Italy.","light pink","7B / 37EU",143,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500313185291883688657368&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fgivenchy-marshmallow-rubber-wedge-slide-sandals-prod261910232"
"Brown Linen-Blend Maxi Dress","Johanna ortiz",,Brown,"US 2",810,"https://www.kqzyfj.com/click-100010600-13462687?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fjohanna-ortiz-light-and-sound-linen-blend-maxi-dress-brown-p01039655%3Ffeed_num%3DP01039655%26feed_des%3DJohannaOrtiz%26feed_mwg%3Dclothing"
